region,fragility_mean,fragility_min,fragility_max,co2_mean,co2_min,co2_max,ForestRev_gdp_mean,ForestRev_gdp_min,ForestRev_gdp_max
AFRICA,85.66470588235293,38.9,112.2,16708352.94117647,173000.0,235137000.0,3.2398039215686274,0.0,13.27
AUSTRALIA AND OCEANIA,55.1,19.7,81.9,76795000.0,177000.0,417870000.0,3.6300000000000003,0.02,20.27
CENTRAL AMERICA AND THE CARIBBEAN,62.99375,42.0,99.3,11048562.5,316000.0,39652000.0,0.359375,0.0,1.26
CENTRAL ASIA,72.88333333333334,61.6,77.7,389880666.6666667,7643000.0,1848070000.0,0.2366666666666667,0.0,1.12
EAST AND SOUTHEAST ASIA,64.11999999999999,28.1,85.5,960833666.6666666,538000.0,10773248000.0,0.5866666666666667,0.0,2.08
EUROPE,40.34871794871795,16.9,71.3,98666743.58974358,2447000.0,726881000.0,0.1992307692307692,0.0,1.02
MIDDLE EAST,71.75625,40.1,113.5,158375437.5,6354000.0,646038000.0,0.0325,0.0,0.28
NORTH AMERICA,42.56666666666667,20.0,69.7,2073394666.6666667,463739000.0,5144361000.0,0.07333333333333333,0.04,0.1
SOUTH AMERICA,61.436363636363645,34.0,75.7,86137181.81818181,2372000.0,456670000.0,1.0645454545454547,0.09,4.56
SOUTH ASIA,83.975,69.8,105.0,330943375.0,934000.0,2314738000.0,0.365,0.0,1.89
